MAIN_id,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,,,,,,,,,,,
 lkh 115,18 04 50,-24 25 41,        B7e,     null ,2.6124954407600,12.38,2.220384913480,11.949,1.6770992431600,     null ,1.2566433765700,11.198,0.8031179474310,9.085,0.4724223220180,8.862,0.29479152893900,8.562,000,0.18046532701100,7.513,0.08850044832460,6.995,0.05469292274790,      null|, null,4.593,0.04571630810170,      null|,null,0.773,dddd ,0.029834603449000,,,,,,,,,,,,,,,,,,,,
 lkh 118,18 05 49,-24 15 20,     B5:Vpe,11.74,4.7324345396700,12.01,4.022141471330,11.17,3.0380004730200,     null ,2.2763609178100,     null ,1.4548171279300,14.552,0.8557747811330,3.938,0.53400346342700,2.541,cc0 ,0.32690596639300,9.162,0.16031514233200,8.533,0.09907411613030,      null|, null,4.683,0.08281332557020,      null|,null,1.16,dDdd ,0.054044231288000,,,,,,,,,,,,,,,,,,,,
 lkh 119,18 05 56,-24 16 00,       B1Ve,     null ,12.4347092413000,13,10.568378559500,10.685,7.9824986991900,17.299999,5.9812525464300,     null ,3.8226050108800,8.721,2.2485911828700,8.248,1.40312089811000,7.900,000,0.85896183185600,7.349,0.42123608159000,7.09,0.26032221198000,      null|, null,6.607,0.21759616876600,      null|,null,5.475,hhh0 ,0.142003929817000,,,,,,,,,,,,,,,,,,,,
 lkh 131,20 46 36,+43 44 35,         Be,     null ,5.6982364355100,14.5,4.842985758930,13.46,3.6579998817400,13.9,2.7409238550500,     null ,1.7517182532300,9.859,1.0304225019000,9.454,0.64298364118500,9.214,000,0.39362139572600,8.665,0.19303248202200,8.384,0.11929330107300,      null|, null,7.74,0.09971398550880,      null|,null,7.993,hhhd ,0.065073654009000,,,,,,,,,,,,,,,,,,,,
 lkh 132,20 46 41,+43 46 48,           ,     null ,99.9900000000000,16,99.990000000000,15.13,99.9900000000000,15.3,99.9900000000000,     null ,99.9900000000000,11.153,99.9900000000000,0.738,99.99000000000000,0.382,000,99.99000000000000,10.480,99.99000000000000,10.214,99.99000000000000,      null|, null,8.896,99.99000000000000,      null|,null,7.049,0ddH ,99.990000000000000,,,,,,,,,,,,,,,,,,,,
 lkh 134,20 48 04,+43 47 25,     B8/A0e,     null ,2.1247680393100,11.77,1.805860720570,11.42,1.3640011825600,     null ,1.0220403227000,     null ,0.6531836648860,12.600,0.3842256852270,2.202,0.23975682758200,1.945,000,0.14677421175700,11.723,0.07197827836570,11.588,0.04448228786080,      null|, null,11.278,0.03718151955940,      null|,null,8.736,00DH ,0.024264774163700,,,,,,,,,,,,,,,,,,,,
 lkh 135,20 48 20,+43 39 48,        B7e,     null ,2.9456985915500,11.6,2.503577464790,11.1,1.8910000000000,     null ,1.4169183098600,     null ,0.9055492957750,9.457,0.5326760563380,8.867,0.33238985915500,8.240,0s0 ,0.20348225352100,7.169,0.09978798122050,6.554,0.06166857288730,3.444000,3,  null ,0.05154706197180,10.640000,3,-0.619,hhhh ,0.033639771380300,,,,,,,,,,,,,,,,,,,,
 lkh 147,20 51 02,+43 49 31,        B2e,     null ,8.3831720612600,15.869,7.124938279920,14.353,5.3816023178100,15.8,4.0324118775700,12.147,2.5771053352900,15.249,1.5159443148800,3.718,0.94594925248300,2.860,ccc ,0.57909072828300,5.395,0.28398690165300,4.401,0.17550276826400,3.353000,3,2.499,0.14669793135100,3.465000,3,0.821,0hoo ,0.095735521750800,,,,,,,,,,,,,,,,,,,,
 lkh 167,20 52 04,+44 37 30,      A1/9e,     null ,99.9900000000000,17,99.990000000000,     null ,99.9900000000000,14.8,99.9900000000000,     null ,99.9900000000000,10.565,99.9900000000000,9.997,99.99000000000000,9.483,000,99.99000000000000,8.959,99.99000000000000,8.567,99.99000000000000,      null|, null,7.625,99.99000000000000,      null|,null,6.382,0000,99.990000000000000,,,,,,,,,,,,,,,,,,,,
 lkh 168,20 52 06,+44 17 16,      F6III,     null ,4.9255921556500,15,4.186307980390,13.52,3.1619985809300,15.3,2.3692721761400,     null ,1.5141965035500,10.234,0.8907038256150,9.059,0.55579918718400,8.120,000,0.34024886138500,6.482,0.16685851666500,5.646,0.10311789527100,1.578000,3,3.329,0.08619340920470,1.401000,3,1.84,0h00 ,0.056250084276800,,,,,,,,,,,,,,,,,,,,
