# CVSO    ID_SIMBAD                                                    typ   RA_J2000      DEC_J2000     RA           DEC          LR_INST   SpN    SpT    WHa      WLiI    W8183    W8195    EW_NaI   HR_INST   FILT    Ha_Hi     WHa_Hi    WHa10    LiI_Hi   WLiI_Hi   Vrad     Vr_err   R        V        errV     Nv    Rc       errRc    Nr   Ic       errIc    Ni    AmpV     AmpR     AmpI     Vstd     Rstd     Istd     Vprob      Rprob      Iprob      Lvr      Lvi      Lri      SDSS_u     SDSS_u_err   SDSS_g     SDSS_g_err    SDSS_r     SDSS_r_err    SDSS_i     SDSS_i_err    SDSS_z     SDSS_z_err    Sep_SDSS               J        errJ    H        errH    Ks       errKs   ph_qual   cc_flg   Sep_2MASS   ID_VISTA   ra_vista        dec_vista          magZ      emagZ        magY      emagY        magJ      emagJ        magH      emagH        magK      emagK        Sep_VISTA              ra_irac      dec_irac      RAJ2000_mips   DECJ2000_mips   m36       err36        m45       err45        m58       err58        m8        err8         mag24    m24_err   flux24    errflux24   Sep_IRAC              Sep_MIPS               ID_WISE                ra_wise             dec_wise              sigra_wise   sigdec_wise   pmra_cone   sigpmra   pmdec   sigpmdec   mjdmean        w1mpro   w1sigmpro   w1snr   w2mpro   w2sigmpro   w2snr   w3mpro   w3sigmpro   w3snr   w4mpro   w4sigmpro   w4snr   ph_qual_cone   ext_flg   var_flg   Sep_WISE               UCAC4        RAJ2000      e_RAJ2000   DEJ2000      e_DEJ2000   pmRA    e_pmRA   pmDE    e_pmDE   Bmag     e_Bmag   Vmag     e_Vmag   gmag     e_gmag   rmag     e_rmag   imag     e_imag   Sep_UCAC4              ID_PACS      X70        Y70        FLUX70    errf70   mag70    merr70   X160       Y160       FLUX160   errf160   mag160   merr160   Sep_PACS                Binarity   Bin_Obs    Bin_ObsDate                        Bin-Sep   T_CB   Loc      d    
  1108    --                                                           ---   05:28:56.46   +01:23:08.4   82.235249    1.3856573    HSP       71.0   M3     -4.627   0.1     0.634    1.144    1.778    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.482   0.007    23    17.269   0.027    50   15.608   0.029    110   0.394    0.277    0.552    0.088    0.045    0.084    0.51       3.71E-4    1.74E-4    0.757    -0.02    0.291    21.74282   0.1433325    19.28788   0.01514942    17.82319   0.009749336   16.40682   0.01233913    15.65419   0.01385941    0.0966543537354648     14.165   0.037   13.55    0.033   13.296   0.042   AAA       000      0.069744    1643842    82.2352149613   1.3856602514       15.1152   0.00188059   14.6427   0.00184024   14.1357   0.00330181   13.5933   0.00351137   13.3266   0.00446687   0.12296339139607337    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p015_ac51-025206   82.2352282          1.3856445             0.0481       0.0463        52          93        20      101        55354.861822   13.2     0.024       44.4    13.04    0.028       39.1    12.45    ""          -0.3    8.642    ""          -0.4    AAUU           0         00nn      0.08790393643555784    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      HR1833   368  
  1109    --                                                           ---   05:28:56.94   -01:40:13.8   82.237259    -1.670507    HSP       70.0   M2     -2.492   0.292   0.645    1.049    1.694    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.098   0.006    8     14.687   0.014    23   13.946   0.048    8     -999.0   0.248    -999.0   -999.0   0.051    -999.0   -999.0     2.8E-29    -999.0     0.0      0.0      2.449    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.298   0.022   11.61    0.022   11.413   0.019   AAA       000      0.767127    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816m016_ac51-021589   82.237483           -1.6704868            0.0461       0.0472        97          51        52      51         55352.513638   11.327   0.026       42.4    11.242   0.024       44.4    11.135   0.152       7.1     8.5      ""          0.9     AABU           1         11nn      0.8093309221376297     442-010225   82.2374824   51          -1.6704498   85          1.4     5.3      3.4     5.6      17.16    0.08     15.69    0.03     16.467   0.09     15.098   0.03     14.173   0.02     0.8298526229735897     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1110    --                                                           ---   05:28:58.23   +00:29:28.0   82.2426392   0.4911138    HSP       71.5   M3.5   -11.51   0.13    1.219    1.8      3.019    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.245   0.004    47    16.036   0.015    49   14.398   0.023    126   0.346    0.113    0.235    0.056    0.032    0.032    1.87E-8    1.1E-12    1.0        0.995    0.283    0.698    20.33267   0.04715597   17.97359   0.009915195   16.53003   0.007755599   15.16822   0.007955149   14.38967   0.01079771    0.2374037083181668     12.855   0.024   12.251   0.024   12.015   0.019   AAA       000      0.278976    859552     82.2425712501   0.491086397215     13.9376   0.00107594   13.425    0.00105327   12.901    0.00191874   12.3206   0.00192498   12.0875   0.00252641   0.26375405172188165    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p000_ac51-048470   82.2425795          0.4910788             0.0408       0.0379        22          53        17      56         55356.625361   11.918   0.023       46.5    11.741   0.021       50.7    11.385   0.165       6.6     8.346    ""          1.9     AABU           0         00nn      0.2491248944485147     453-010681   82.2424812   237         0.4911089    244         -1.0    19.0     6.1     19.0     ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.5690525809905        ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1111    --                                                           ---   05:28:59.24   -01:54:27.3   82.2468134   -1.9075925   HSP       72.0   M4     -3.787   0.59    1.02     1.367    2.387    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.326   0.047    56    17.267   0.031    64   15.454   0.018    113   0.443    0.246    0.452    0.089    0.04     0.041    0.278      0.701      0.994      0.046    0.129    0.155    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.963   0.03    13.314   0.029   13.12    0.031   AAA       000      0.098547    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816m016_ac51-021687   82.2468669          -1.9076239            0.0477       0.0458        51          74        186     78         55336.876698   12.926   0.025       43.2    12.724   0.027       39.7    10.985   0.161       6.7     8.114    0.288       3.8     AABB           0         00nn      0.2232301446305217     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1112    --                                                           ---   05:28:59.35   -01:17:17.6   82.2473033   -1.2882148   HSP       73.0   M5     -6.8     0.2     0.801    1.336    2.137    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.395   0.002    14    17.408   0.034    50   15.512   0.019    93    -999.0   0.24     0.181    -999.0   0.045    0.022    -999.0     0.0246     1.0        0.0      0.0      -0.098   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.929   0.024   13.326   0.03    13.055   0.034   AAA       000      0.172457    1765       82.2473370342   -1.28818046381     15.0318   0.00184269   14.4648   0.00375677   13.9247   0.00336385   13.3966   0.00324101   13.165    0.00498404   0.17326419033194201    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816m016_ac51-042879   82.2473562          -1.2881877            0.0476       0.0454        -33         76        45      87         55356.291457   12.955   0.025       44.2    12.743   0.028       38.6    11.921   ""          0.8     9.022    ""          -0.6    AAUU           0         01nn      0.21393227216274585    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1113    --                                                           ---   05:28:59.94   -00:45:39.2   82.2497303   -0.7608933   HYD       73.5   M5.5   -11.4    0.4     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.199   0.004    50    16.986   0.024    61   14.94    0.018    109   0.27     0.198    0.393    0.06     0.041    0.039    0.896      1.49E-5    0.955      0.148    0.101    0.104    21.64203   0.1349758    19.0288    0.01454419    17.62945   0.01256976    15.93168   0.01002231    14.96608   0.01423347    0.10988547237533464    13.315   0.022   12.754   0.025   12.479   0.027   AAA       000      0.120618    1151       82.2496954208   -0.760855346272    14.4533   0.00140687   13.8871   0.00284636   13.2873   0.00246857   12.8038   0.0024148    12.5543   0.0036105    0.18555999226887396    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816m016_ac51-044943   82.2497134          -0.7608709            0.0428       0.0408        -28         58        3       65         55358.149374   12.306   0.024       45.1    12.077   0.023       46.6    11.97    ""          1.1     8.867    ""          0.5     AAUU           0         00nn      0.10101317960386913    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1114    --                                                           ---   05:29:00.02   +03:04:20.0   82.2500648   3.0722322    FAST      69.5   M1.5   -7.76    0.34    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.472   0.015    31    14.507   0.013    22   -999.0   -999.0   0     0.136    0.108    -999.0   0.039    0.029    -999.0   1.91E-12   7.17E-7    -999.0     2.331    2.313    1.626    18.90495   0.02844363   16.38533   0.01382366    14.9358    0.01036376    13.97922   0.01233556    13.33194   0.01600027    0.15078261337832316    11.895   0.026   11.222   0.024   10.975   0.021   AAA       000      0.196161    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-023198   82.2500622          3.0721816             0.0381       0.0356        -46         44        30      44         55346.765382   10.93    0.023       47.4    10.822   0.02        54.8    10.682   0.09        12.0    9.093    ""          -1.4    AAAU           0         110n      0.1823996259723727     466-010698   82.2500636   33          3.0721928    35          -1.9    3.8      -4.3    3.8      17.077   0.19     15.571   0.05     16.328   0.02     14.952   0.07     13.889   0.1      0.14190558267915743    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1115    --                                                           ---   05:29:00.52   +03:51:48.2   82.2521668   3.8633817    HSP       71.5   M3.5   -10.6    0.2     0.662    1.079    1.741    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.438   0.08     8     17.999   0.055    35   15.947   0.018    26    0.368    0.281    0.324    0.123    0.067    0.057    0.459      0.463      0.0523     0.146    0.354    0.197    24.88314   1.371951     20.18959   0.03076256    18.74478   0.01810496    16.8764    0.01955011    16.01989   0.0193563     0.3797825422222266     14.263   0.036   13.672   0.039   13.388   0.042   AAA       000      0.267278    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0820p045_ac51-002426   82.2522419          3.8633059             0.0496       0.0485        -31         90        106     100        55350.133401   13.249   0.026       42.1    12.984   0.028       39.3    12.114   0.304       3.6     8.763    ""          -0.8    AABU           0         00nn      0.3837006643347671     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      HD35762  338  
  1116    --                                                           ---   05:29:00.70   +02:30:29.1   82.2529237   2.5080902    HSP       69.5   M1.5   -16.06   0.288   1.036    1.59     2.626    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   20.215   0.05     6     18.899   0.081    22   16.595   0.03     28    -999.0   0.474    0.11     -999.0   0.104    0.023    -999.0     0.0174     0.996      0.0      0.0      -0.038   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.771   0.043   14.286   0.051   13.928   0.055   AAA       000      0.206396    2463923    82.2528847091   2.50810853584      16.0247   0.0028621    15.3303   0.00259943   14.7456   0.0044436    14.2611   0.0048334    13.9464   0.0063643    0.15499168466963542    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-000148   82.2528825          2.5080776             0.0548       0.0545        85          114       -70     124        55343.834669   13.771   0.027       40.7    13.515   0.034       32.3    12.549   ""          0.0     8.838    ""          0.4     AAUU           0         00nn      0.15496523794808917    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      1a       330  
  1117    --                                                           ---   05:29:01.28   +02:43:30.2   82.2553227   2.725064     HSP       70.0   M2     -6.346   0.299   1.122    1.717    2.839    HCH       OB26    6563.84   -2.341    109.3    6709.1   0.103     20.1     1.4      3.5      18.427   0.042    28    17.239   0.026    30   15.374   0.016    29    0.223    0.216    0.12     0.058    0.052    0.029    0.63       1.66E-6    2.08E-5    0.367    0.113    1.842    22.3894    0.3071909    19.31525   0.01941063    17.81746   0.01615618    16.28197   0.01561496    15.3851    0.0157197     0.13845690137553096    13.897   0.03    13.323   0.023   13.02    0.033   AAA       000      0.126148    2462270    82.2553233305   2.72503186109      14.8808   0.00167444   14.3775   0.00160506   13.8497   0.00289012   13.321    0.00299868   13.0648   0.00395857   0.1157222879704159     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-020877   82.2553232          2.7250354             0.0474       0.0452        4           83        137     87         55365.445221   12.93    0.025       44.2    12.733   0.027       39.7    12.538   ""          0.3     8.49     ""          0.5     AAUU           0         11nn      0.10297569750429658    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1118    --                                                           ---   05:29:01.48   -00:11:29.9   82.2561624   -0.1916334   FAST      68.5   M0.5   -7.54    0.28    -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.231   0.006    86    14.319   0.017    80   13.327   0.028    134   0.474    0.202    0.391    0.074    0.043    0.071    0.0        3.4E-33    5.36E-27   2.85     1.118    0.934    18.80492   0.02676588   16.22066   0.01093957    14.86468   0.00760813    14.04842   9.62407E-4    13.55444   0.01501006    0.17909519582508981    12.178   0.021   11.488   0.025   11.313   0.023   AAA       000      0.243288    859160     82.2560891737   -0.191603056883    13.0542   7.09475E-4   12.6712   7.3805E-4    12.2113   0.00139036   11.5978   0.00136695   11.35     0.00177127   0.28534935741231454    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p000_ac51-021871   82.2561093          -0.1916186            0.0402       0.0374        10          47        -82     48         55352.1208     11.201   0.024       45.3    11.152   0.02        53.6    10.847   0.153       7.1     8.917    ""          -0.4    AABU           0         000n      0.19844519450448625    450-010597   82.2561142   68          -0.1916206   40          -2.5    5.4      0.6     5.5      16.667   0.11     15.261   0.11     16.017   0.11     14.678   0.09     13.952   0.06     0.17953333947337863    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       CW     1a       330  
  1119    --                                                           ---   05:29:01.86   +01:42:56.7   82.2577309   1.7157535    HSP       71.5   M3.5   -12.7    0.5     1.321    1.69     3.011    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.502   0.007    9     18.145   0.05     60   15.997   0.022    70    -999.0   0.607    0.521    -999.0   0.096    0.093    -999.0     0.0312     1.27E-25   0.0      0.0      0.544    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.236   0.034   13.621   0.035   13.358   0.035   AAA       000      0.239114    1643924    82.2577548561   1.71579815565      15.4149   0.00216365   14.7699   0.00196212   14.1886   0.00338716   13.682    0.00367204   13.3799   0.00459439   0.1824140750233863     82.257752    1.7158215     ""             ""              13.0589   0.00645452   12.9746   0.00875463   12.9451   0.0345633    12.9638   0.0696424    ""       ""        ""        ""          ""                    0.2563040944829662     0816p015_ac51-047076   82.2577395          1.7157995             0.0474       0.0466        38          90        95      92         55360.434064   13.195   0.025       43.6    12.972   0.027       40.6    12.178   ""          1.2     8.839    ""          -0.3    AAUU           0         00nn      0.16846668007217055    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       CW     HR1833   368  
  1120    --                                                           ---   05:29:02.40   +02:39:33.8   82.260002    2.659392     HSP       67.0   K7     -1.492   0.41    0.7      0.914    1.614    HCH       OB26    6564.0    -0.87     96.8     6709.06  0.425     28.1     0.4      24.0     14.9     0.033    28    14.2     0.011    28   13.405   0.013    22    0.143    0.116    0.488    0.04     0.031    0.105    3.37E-24   1.25E-22   1.93E-37   3.391    1.498    1.28     18.06946   0.02208333   15.63799   0.0139618     14.44669   0.01530019    13.9275    0.01542622    13.60655   0.01531697    0.2354844204884523     12.409   0.022   11.757   0.022   11.671   0.021   AAA       000      0.168733    2460989    82.2599851321   2.65935378258      13.29     8.01695E-4   12.9953   8.29309E-4   12.4779   0.00152111   11.9089   0.00152602   11.7032   0.0020235    0.15036130466429726    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-020829   82.259982           2.6593336             0.0409       0.0382        -17         52        22      58         55354.073886   11.588   0.022       48.9    11.585   0.023       47.5    11.518   0.18        6.0     8.901    ""          -0.6    AABU           0         00nn      0.2222019298562976     464-010844   82.259985    29          2.6593148    28          -2.2    3.9      -3.9    3.9      16.237   0.06     15.099   0.01     15.674   0.09     14.538   0.05     13.933   0.1      0.28456440988789117    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1121    --                                                           ---   05:29:02.44   +03:21:43.2   82.26018     3.36199      HSP       72.5   M4.5   -42.7    0.2     0.719    1.087    1.806    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   -999.0   -999.0   0     -999.0   -999.0   0    -999.0   -999.0   0     -999.0   -999.0   -999.0   -999.0   -999.0   -999.0   -999.0     -999.0     -999.0     -999.0   -999.0   -999.0   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.357   0.038   12.783   0.036   12.423   0.032   AAA       000      0.011382    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-045732   82.2602057          3.3619128             0.0409       0.0386        -29         51        47      53         55339.335233   12.083   0.023       47.3    11.696   0.023       47.4    9.856    0.049       22.2    7.876    0.197       5.5     AAAB           0         001n      0.2928652226706459     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      HD35762  338  
  1122    --                                                           ---   05:29:02.54   -01:28:27.6   82.2605782   -1.474334    HSP       73.0   M5     -5.98    0.23    0.82     1.27     2.09     ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.068   0.005    12    17.862   0.047    51   15.894   0.02     90    -999.0   0.27     0.111    -999.0   0.052    0.023    -999.0     0.505      0.81       0.0      0.0      0.295    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.277   0.029   13.622   0.028   13.352   0.034   AAA       000      0.179798    2211       82.2605952552   -1.47430509372     15.7329   0.00256386   14.9139   0.00468464   14.251    0.0039573    13.6615   0.00371131   13.3059   0.00538554   0.1208152874666963     82.2603187   -1.4744985    ""             ""              999.0     999.0        12.991    0.009        14.914    0.259        12.887    0.059        ""       ""        ""        ""          ""                    1.1058266945024176     0816m016_ac51-022967   82.2606376          -1.4743297            0.0478       0.0466        109         81        -10     90         55356.155459   13.203   0.025       44.0    12.945   0.027       39.9    12.464   ""          -0.3    9.006    ""          -1.1    AAUU           0         00nn      0.21432896425707376    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1123    --                                                           ---   05:29:03.00   -01:11:49.0   82.262482    -1.1969525   HSP       73.0   M5     -12.0    0.4     0.615    1.236    1.851    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.383   0.007    17    17.259   0.031    54   15.26    0.018    90    -999.0   0.172    0.132    -999.0   0.036    0.022    -999.0     0.657      0.658      0.0      0.0      0.774    21.83414   0.1326602    19.24715   0.0167559     17.81406   0.01023432    16.1227    0.01017406    15.15102   0.01602012    0.06328051040123242    13.557   0.022   12.946   0.024   12.678   0.027   AAA       000      0.182347    1390       82.2624960451   -1.19691690795     14.6718   0.00155756   14.0656   0.00309946   13.5508   0.00280251   12.9998   0.00265848   12.7262   0.00394584   0.1377428300890437     82.262402    -1.1968278    ""             ""              999.0     999.0        12.335    0.006        999.0     999.0        12.102    0.031        ""       ""        ""        ""          ""                    0.533326332287798      0816m016_ac51-042906   82.2625094          -1.196937             0.0451       0.0431        37          65        41      68         55347.280108   12.538   0.025       42.6    12.325   0.024       45.2    11.376   0.298       3.6     8.679    ""          -0.3    AABU           0         00nn      0.11331038756907107    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1b       440  
  1124    --                                                           ---   05:29:03.34   +02:50:12.3   82.263901    2.836755     HSP       70.0   M2     -30.83   0.751   1.035    1.692    2.727    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.725   0.043    24    -999.0   -999.0   0    14.476   0.014    24    0.198    -999.0   0.132    0.046    -999.0   0.028    0.111      9.0        1.76E-6    0.865    1.32     0.0      21.57592   0.11322      19.05831   0.02200886    17.6305    0.02308019    16.1153    0.02778043    15.1747    0.03199717    1.10902313314448       13.222   0.05    12.654   0.056   12.209   0.042   EEE       000      1.164538    2461934    82.2637767548   2.83701892027      14.6189   0.00148257   14.1081   0.00140772   13.5786   0.00254309   13.0175   0.0025861    12.765    0.00339878   1.0498982962415035     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-020839   82.2639399          2.8366271             0.0403       0.0379        21          52        125     54         55350.753361   11.665   0.023       47.7    11.398   0.022       48.9    10.73    0.096       11.3    8.133    ""          1.5     AAAU           0         000n      0.481215298462143      ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      1a       330  
  1125    --                                                           ---   05:29:03.58   +02:32:56.6   82.2649157   2.5490613    HSP       70.5   M2.5   -6.716   0.502   0.825    1.719    2.544    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.902   0.043    23    17.691   0.035    24   15.675   0.018    23    0.356    0.157    0.083    0.086    0.046    0.019    0.278      0.0975     0.61       0.594    0.169    -0.158   23.5284    0.7437165    19.60095   0.01651281    18.21761   0.009019093   16.55022   0.01162966    15.66203   0.02081661    0.03334513128800117    14.123   0.033   13.467   0.025   13.253   0.037   AAA       000      0.067531    2462555    82.2649082694   2.54908231163      15.1406   0.00188975   14.5772   0.00177106   14.0596   0.00319282   13.5149   0.00330023   13.2356   0.00432529   0.08022373611911796    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p030_ac51-000081   82.2649061          2.5490402             0.0472       0.0463        0           76        0       81         55353.00657    13.043   0.025       43.5    12.863   0.026       41.0    12.098   ""          0.9     8.97     ""          -0.4    AAUU           0         11nn      0.0834383166891243     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  1126    --                                                           ---   05:29:04.10   +01:15:31.6   82.267067    1.2587725    FAST      69.0   M1     -3.6     0.4     -999.0   -999.0   -999.0   HCH       OB25    6562.96   -2.819    139.8    -999.0   -999.0    20.831   0.529    16.14    14.588   0.052    39    -999.0   -999.0   0    12.465   0.037    8     0.33     -999.0   -999.0   0.083    -999.0   -999.0   0.0        9.0        -999.0     5.156    5.156    0.0      18.04269   0.02110556   15.65852   0.009950054   14.20263   0.008545223   14.21086   0.002436757   12.96084   0.01180413    0.13391417336401373    11.419   0.023   10.735   0.026   10.555   0.023   AAA       000      0.174714    1641742    82.2670319939   1.2587723139       12.0498   3.6269E-4    11.6443   3.39867E-4   11.1633   7.13796E-4   10.4906   6.65886E-4   10.1537   7.72273E-4   0.12599332902616026    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0816p015_ac51-022498   82.267041           1.2587565             0.0392       0.0368        0           41        0       43         55350.786655   10.423   0.023       47.1    10.373   0.021       51.9    10.261   0.067       16.2    8.66     ""          1.0     AAAU           0         000n      0.10988399379655389    457-010610   82.2670377   32          1.2587639    27          -0.6    5.6      -2.3    5.7      15.995   0.05     14.584   0.04     15.345   0.07     13.985   0.05     13.17    0.06     0.10990533525637058    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
